year,temp_C_global
2000,0.14819580115863407
2001,0.18451171516503095
2002,0.21855814010421648
2003,0.24745327598116207
2004,0.2694735726397115
2005,0.2871589067534214
2006,0.30199147266112136
2007,0.3173133078867243
2008,0.3343232358519074
2009,0.35266850172313735
2010,0.37543082411102124
2011,0.40007812924768527
2012,0.4255849334384133
2013,0.45341693309740927
2014,0.48119613634214253
2015,0.5104451404158693
2016,0.5400869807865559
2017,0.5692943334738944
2018,0.5981613787791925
2019,0.6262988325369977
2020,0.6540256077192773
2021,0.6811876304956258
2022,0.7080595440218883
2023,0.7341981883331411
2024,0.7586964787303055
2025,0.7803284713378787
2026,0.7985169484429594
2027,0.8137920274440219
2028,0.8272078762571845
2029,0.8393552096696845
2030,0.8510258840848749
2031,0.8633900635376234
2032,0.8770118601620579
2033,0.8926805208822558
2034,0.9112072379692048
2035,0.9313795479678925
2036,0.9521954367490214
2037,0.9727260719685434
2038,0.9924793728724398
2039,1.0113061219209225
2040,1.0286571111058729
2041,1.0449773102572912
2042,1.0610843937151477
2043,1.0777891342075216
2044,1.0955908813979405
2045,1.1154339700814386
2046,1.1373032053053374
2047,1.1605402309494002
2048,1.1841144907672696
2049,1.2062821938929265
2050,1.2260753701572722
2051,1.2439816638690515
2052,1.2608168737939667
2053,1.2769903558675644
2054,1.2933160589717776
2055,1.3108534228720519
2056,1.3300869370549115
2057,1.3499826763222824
2058,1.369742326600743
2059,1.3895053946013967
2060,1.4084031821300806
2061,1.4257921333849923
2062,1.4420618054068628
2063,1.4578672643731916
2064,1.4737197028610969
2065,1.4900023378994054
2066,1.5076731505957146
2067,1.5270648264583313
2068,1.5473103629586826
2069,1.5671286855359767
2070,1.5855527068971527
2071,1.6022525073900225
2072,1.6177339784374607
2073,1.6327194085440566
2074,1.6472872079608432
2075,1.6616603107257841
2076,1.6761214357100802
2077,1.6910601470531539
2078,1.7071679695656115
2079,1.72466082938125
2080,1.743129451313981
2081,1.7618896463045153
2082,1.7804923926070257
2083,1.7984082761510765
2084,1.8156077243497313
2085,1.831961023231841
2086,1.8474848506152797
2087,1.8630466932489642
2088,1.879103692123219
2089,1.896187131324393
2090,1.9149911046244825
2091,1.935309383750408
2092,1.9568454510336366
2093,1.9782722565108957
2094,1.9980121286544046
2095,2.016201657438617
2096,2.0332066242151656
2097,2.049642015601276
2098,2.0660618537171427
2099,2.08301896243145
2100,2.101342280561993
2101,2.1176503914308467
2102,2.1318006051156426
2103,2.1467841635596265
2104,2.162008169729674
2105,2.1765655810297075
2106,2.190553971850436
2107,2.2045163532032417
2108,2.218883584415383
2109,2.234205776811619
2110,2.251166640689807
2111,2.2709521437034743
2112,2.2921211344034673
2113,2.3127748993425943
2114,2.3318734510166585
2115,2.349389215096779
2116,2.365752826257886
2117,2.3810714562966466
2118,2.396109305692284
2119,2.411376518335232
2120,2.427947639214353
2121,2.4468131667374906
2122,2.4680433188943103
2123,2.4890247294396874
2124,2.508713467128838
2125,2.5269300841761906
2126,2.5428287841039463
2127,2.557467529283828
2128,2.5716256546115472
2129,2.5859868440478286
2130,2.6017304048862013
2131,2.6206318668438597
2132,2.6414692990932886
2133,2.6621777755502603
2134,2.681684845686722
2135,2.698765143192793
2136,2.713307930044271
2137,2.72649240250585
2138,2.739408998763761
2139,2.7522871507659628
2140,2.7656242735217886
2141,2.7803530724866827
2142,2.7968879654974788
2143,2.814091963413142
2144,2.8311745397898904
2145,2.8478766786728986
2146,2.863297766093802
2147,2.8777792572887972
